source,target,weight
Drug_105381226,Gene_5431,1.0
Drug_105381226,Gene_834,1.0
Drug_105381226,Gene_11309,1.0
Drug_105381226,Gene_6579,1.0
Drug_105381226,Gene_9533,1.0
Drug_105381226,Gene_5435,1.0
Drug_105381226,Gene_25885,1.0
Drug_105381226,Gene_11128,1.0
Drug_105381226,Gene_10599,1.0
Drug_105381226,Gene_8856,1.0
Drug_105381226,Gene_84172,1.0
Gene_1139,Drug_4032,1.0
Gene_1139,Drug_5314,1.0
Gene_1139,Drug_100004032,1.0
Gene_1139,Drug_100005314,1.0
Gene_2842,Drug_100002756,1.0
Gene_2842,Drug_2756,1.0
Gene_6532,Drug_100004601,1.0
Gene_6532,Drug_124087,1.0
Gene_6532,Drug_100124087,1.0
Gene_6532,Drug_100002725,1.0
Gene_6532,Drug_3947,1.0
Drug_100004680,Gene_5158,1.0
Drug_100004680,Gene_27115,1.0
Drug_100004680,Gene_1557,1.0
Drug_100004680,Gene_5146,1.0
Drug_100004680,Gene_5150,1.0
Drug_100004680,Gene_5145,1.0
Drug_100004680,Gene_5142,1.0
Drug_100004680,Gene_50940,1.0
Drug_100004680,Gene_5140,1.0
Drug_100004680,Gene_5143,1.0
Drug_100004680,Gene_3757,1.0
Drug_100004680,Gene_5139,1.0
Drug_100004680,Gene_5138,1.0
Drug_100004680,Gene_10846,1.0
Drug_100004680,Gene_8654,1.0
Gene_5150,Drug_5212,1.0
Gene_5150,Drug_100005212,1.0
Gene_4025,Drug_11020241,1.0
Gene_4025,Drug_111020241,1.0
Gene_4025,Drug_100003672,1.0
Gene_22829,Drug_100004991,1.0
Gene_22829,Drug_656926,1.0
Gene_22829,Drug_5983,1.0
Gene_22829,Drug_5314,1.0
Gene_22829,Drug_100004913,1.0
Gene_22829,Drug_2712,1.0
Gene_22829,Drug_100004811,1.0
Gene_22829,Drug_4913,1.0
Gene_22829,Drug_100005314,1.0
Gene_151,Drug_11020241,1.0
Gene_151,Drug_100004601,1.0
Gene_151,Drug_111020241,1.0
Gene_151,Drug_124087,1.0
Gene_151,Drug_100124087,1.0
Gene_7173,Drug_11020241,1.0
Gene_7173,Drug_111020241,1.0
Gene_7173,Drug_100003672,1.0
Drug_4032,Gene_1137,1.0
Drug_4032,Gene_1135,1.0
Gene_1129,Drug_100004601,1.0
Gene_1129,Drug_124087,1.0
Gene_1129,Drug_100004913,1.0
Gene_1129,Drug_100124087,1.0
Gene_1129,Drug_100002725,1.0
Gene_1129,Drug_3947,1.0
Gene_1129,Drug_4913,1.0
Gene_3757,Drug_4932,1.0
Gene_3757,Drug_5212,1.0
Gene_3757,Drug_100004601,1.0
Gene_3757,Drug_100004932,1.0
Gene_3757,Drug_100002725,1.0
Gene_3757,Drug_100005212,1.0
Gene_5142,Drug_5212,1.0
Gene_5142,Drug_100005212,1.0
Drug_100004032,Gene_1137,1.0
Drug_100004032,Gene_1135,1.0
Drug_100005212,Gene_5138,1.0
Drug_100005212,Gene_5158,1.0
Drug_100005212,Gene_27115,1.0
Drug_100005212,Gene_10846,1.0
Drug_100005212,Gene_5146,1.0
Drug_100005212,Gene_5145,1.0
Drug_100005212,Gene_50940,1.0
Drug_100005212,Gene_5143,1.0
Drug_100005212,Gene_8654,1.0
Gene_221223,Drug_100004991,1.0
Gene_221223,Drug_656926,1.0
Gene_221223,Drug_5983,1.0
Gene_221223,Drug_5314,1.0
Gene_221223,Drug_100004913,1.0
Gene_221223,Drug_2712,1.0
Gene_221223,Drug_100004811,1.0
Gene_221223,Drug_4913,1.0
Gene_221223,Drug_100005314,1.0
Drug_100004991,Gene_590,1.0
Drug_100004991,Gene_8824,1.0
Drug_100004991,Gene_57555,1.0
Drug_100004991,Gene_1056,1.0
Drug_100004991,Gene_23491,1.0
Drug_100004991,Gene_1066,1.0
Drug_100004991,Gene_57502,1.0
Drug_100004991,Gene_22871,1.0
Drug_100004991,Gene_283848,1.0
Gene_3363,Drug_100002756,1.0
Gene_3363,Drug_2756,1.0
Drug_5983,Gene_590,1.0
Drug_5983,Gene_8824,1.0
Drug_5983,Gene_57555,1.0
Drug_5983,Gene_1056,1.0
Drug_5983,Gene_23491,1.0
Drug_5983,Gene_1066,1.0
Drug_5983,Gene_57502,1.0
Drug_5983,Gene_22871,1.0
Drug_5983,Gene_283848,1.0
Drug_5983,Gene_1565,1.0
Drug_5314,Gene_590,1.0
Drug_5314,Gene_8824,1.0
Drug_5314,Gene_57555,1.0
Drug_5314,Gene_1056,1.0
Drug_5314,Gene_1137,1.0
Drug_5314,Gene_23491,1.0
Drug_5314,Gene_1135,1.0
Drug_5314,Gene_1066,1.0
Drug_5314,Gene_57502,1.0
Drug_5314,Gene_22871,1.0
Drug_5314,Gene_283848,1.0
Drug_392622,Gene_28234,1.0
Drug_392622,Gene_55244,1.0
Drug_392622,Gene_1557,1.0
Drug_392622,Gene_6582,1.0
Drug_392622,Gene_1565,1.0
Drug_392622,Gene_10599,1.0
Gene_1135,Drug_100005314,1.0
Gene_5447,Drug_100000453,1.0
Gene_6530,Drug_100004601,1.0
Gene_6530,Drug_124087,1.0
Gene_6530,Drug_100124087,1.0
Gene_6530,Drug_100002725,1.0
Gene_6530,Drug_3947,1.0
Drug_5212,Gene_5138,1.0
Drug_5212,Gene_5158,1.0
Drug_5212,Gene_27115,1.0
Drug_5212,Gene_10846,1.0
Drug_5212,Gene_5146,1.0
Drug_5212,Gene_5145,1.0
Drug_5212,Gene_50940,1.0
Drug_5212,Gene_5143,1.0
Drug_5212,Gene_8654,1.0
Gene_11255,Drug_100002756,1.0
Gene_11255,Drug_2756,1.0
Gene_1133,Drug_100004601,1.0
Gene_1133,Drug_124087,1.0
Gene_1133,Drug_100124087,1.0
Gene_1133,Drug_100002725,1.0
Gene_1133,Drug_3947,1.0
Gene_3274,Drug_124087,1.0
Gene_3274,Drug_100002756,1.0
Gene_3274,Drug_100124087,1.0
Gene_3274,Drug_100002725,1.0
Gene_3274,Drug_2756,1.0
Gene_148,Drug_3947,1.0
Gene_9376,Drug_100002756,1.0
Gene_9376,Drug_2756,1.0
Gene_7018,Drug_100000453,1.0
Gene_7018,Drug_100003672,1.0
Gene_3357,Drug_4932,1.0
Gene_3357,Drug_124087,1.0
Gene_3357,Drug_100004932,1.0
Gene_3357,Drug_100124087,1.0
Gene_3357,Drug_3947,1.0
Gene_1132,Drug_100004601,1.0
Gene_1132,Drug_124087,1.0
Gene_1132,Drug_100124087,1.0
Gene_1132,Drug_100002725,1.0
Gene_1132,Drug_3947,1.0
Gene_283848,Drug_656926,1.0
Gene_283848,Drug_100004913,1.0
Gene_283848,Drug_2712,1.0
Gene_283848,Drug_100004811,1.0
Gene_283848,Drug_4913,1.0
Gene_283848,Drug_100005314,1.0
Drug_100003672,Gene_4241,1.0
Drug_100003672,Gene_5743,1.0
Drug_100003672,Gene_5742,1.0
Drug_100003672,Gene_137902,1.0
Drug_100003672,Gene_4353,1.0
Drug_100003672,Gene_8288,1.0
Drug_100003672,Gene_7837,1.0
Gene_1056,Drug_656926,1.0
Gene_1056,Drug_100004913,1.0
Gene_1056,Drug_2712,1.0
Gene_1056,Drug_100004811,1.0
Gene_1056,Drug_4913,1.0
Gene_1056,Drug_100005314,1.0
Drug_656926,Gene_590,1.0
Drug_656926,Gene_4085,1.0
Drug_656926,Gene_57555,1.0
Drug_656926,Gene_23491,1.0
Drug_656926,Gene_1066,1.0
Drug_656926,Gene_57502,1.0
Drug_656926,Gene_22871,1.0
Drug_656926,Gene_8824,1.0
Drug_656926,Gene_121506,1.0
Drug_656926,Gene_5730,1.0
Gene_706,Drug_2712,1.0
Gene_3163,Drug_11020241,1.0
Gene_3163,Drug_111020241,1.0
Drug_11020241,Gene_220002,1.0
Drug_11020241,Gene_1534,1.0
Drug_11020241,Gene_9446,1.0
Drug_11020241,Gene_5743,1.0
Drug_11020241,Gene_5742,1.0
Drug_11020241,Gene_137902,1.0
Drug_11020241,Gene_4353,1.0
Drug_11020241,Gene_3162,1.0
Drug_11020241,Gene_8288,1.0
Drug_11020241,Gene_7837,1.0
Gene_137902,Drug_111020241,1.0
Gene_8824,Drug_100004913,1.0
Gene_8824,Drug_2712,1.0
Gene_8824,Drug_100004811,1.0
Gene_8824,Drug_4913,1.0
Gene_8824,Drug_100005314,1.0
Gene_3269,Drug_100004601,1.0
Gene_3269,Drug_124087,1.0
Gene_3269,Drug_2712,1.0
Gene_3269,Drug_100124087,1.0
Gene_3269,Drug_100002725,1.0
Gene_3269,Drug_3947,1.0
Drug_100000453,Gene_55253,1.0
Drug_100000453,Gene_1718,1.0
Drug_100000453,Gene_4241,1.0
Drug_100000453,Gene_27158,1.0
Drug_100000453,Gene_4846,1.0
Drug_100000453,Gene_4552,1.0
Drug_100000453,Gene_4842,1.0
Gene_5021,Drug_100002756,1.0
Gene_5021,Drug_2756,1.0
Gene_57502,Drug_100004913,1.0
Gene_57502,Drug_2712,1.0
Gene_57502,Drug_100004811,1.0
Gene_57502,Drug_4913,1.0
Gene_57502,Drug_100005314,1.0
Drug_100005314,Gene_590,1.0
Drug_100005314,Gene_57555,1.0
Drug_100005314,Gene_1137,1.0
Drug_100005314,Gene_23491,1.0
Drug_100005314,Gene_1066,1.0
Drug_100005314,Gene_22871,1.0
Gene_590,Drug_100004913,1.0
Gene_590,Drug_2712,1.0
Gene_590,Drug_100004811,1.0
Gene_590,Drug_4913,1.0
Drug_4913,Gene_6581,1.0
Drug_4913,Gene_57555,1.0
Drug_4913,Gene_23491,1.0
Drug_4913,Gene_1066,1.0
Drug_4913,Gene_22871,1.0
Drug_4913,Gene_6582,1.0
Gene_7837,Drug_111020241,1.0
Gene_3358,Drug_4932,1.0
Gene_3358,Drug_100004601,1.0
Gene_3358,Drug_124087,1.0
Gene_3358,Drug_100004932,1.0
Gene_3358,Drug_100124087,1.0
Gene_3358,Drug_3947,1.0
Drug_100002756,Gene_6583,1.0
Drug_100002756,Gene_55244,1.0
Drug_100002756,Gene_6581,1.0
Drug_100002756,Gene_6584,1.0
Drug_100002756,Gene_3362,1.0
Drug_100002756,Gene_59340,1.0
Drug_100002756,Gene_3356,1.0
Drug_100002756,Gene_4988,1.0
Drug_100002756,Gene_6582,1.0
Gene_6582,Drug_100004913,1.0
Gene_6582,Drug_2756,1.0
Gene_6583,Drug_2756,1.0
Drug_2756,Gene_55244,1.0
Drug_2756,Gene_6581,1.0
Drug_2756,Gene_6584,1.0
Drug_2756,Gene_3362,1.0
Drug_2756,Gene_59340,1.0
Drug_2756,Gene_3356,1.0
Drug_2756,Gene_4988,1.0
Drug_100004932,Gene_3362,1.0
Drug_100004932,Gene_1565,1.0
Drug_100004932,Gene_3356,1.0
Drug_100004932,Gene_6531,1.0
Gene_150,Drug_100004601,1.0
Gene_146,Drug_3947,1.0
Drug_100004811,Gene_57555,1.0
Drug_100004811,Gene_23491,1.0
Drug_100004811,Gene_1066,1.0
Drug_100004811,Gene_22871,1.0
Drug_100004811,Gene_1565,1.0
Gene_1534,Drug_111020241,1.0
Drug_124087,Gene_1128,1.0
Drug_124087,Gene_1814,1.0
Drug_124087,Gene_1131,1.0
Drug_124087,Gene_3362,1.0
Drug_124087,Gene_3356,1.0
Drug_100002725,Gene_1128,1.0
Drug_100002725,Gene_1131,1.0
Drug_100002725,Gene_59340,1.0
Drug_100002725,Gene_3356,1.0
Drug_100002725,Gene_6531,1.0
Gene_3356,Drug_4932,1.0
Gene_3356,Drug_100004601,1.0
Gene_3356,Drug_100124087,1.0
Gene_3356,Drug_3947,1.0
Gene_6531,Drug_4932,1.0
Gene_6531,Drug_3947,1.0
Gene_147,Drug_3947,1.0
Gene_22871,Drug_100004913,1.0
Gene_22871,Drug_2712,1.0
Gene_1565,Drug_4932,1.0
Gene_1565,Drug_100004601,1.0
Gene_1814,Drug_100124087,1.0
Drug_100004913,Gene_6581,1.0
Drug_100004913,Gene_57555,1.0
Drug_100004913,Gene_23491,1.0
Drug_100004913,Gene_1066,1.0
Gene_3162,Drug_111020241,1.0
Gene_57555,Drug_2712,1.0
Drug_100004601,Gene_1128,1.0
Drug_100004601,Gene_1131,1.0
Drug_100004601,Gene_3362,1.0
Gene_9446,Drug_111020241,1.0
Drug_3947,Gene_1128,1.0
Drug_3947,Gene_1131,1.0
Gene_4353,Drug_111020241,1.0
Gene_1131,Drug_100124087,1.0
Gene_23491,Drug_2712,1.0
Drug_2712,Gene_222642,1.0
Drug_2712,Gene_1066,1.0
Drug_100124087,Gene_1128,1.0
Drug_100124087,Gene_3362,1.0
Gene_220002,Drug_111020241,1.0
Gene_8288,Drug_111020241,1.0
Gene_5742,Drug_111020241,1.0
Gene_5743,Drug_111020241,1.0
Gene_3362,Drug_4932,1.0
